id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1183604594032533504,1183325176223678464,1571028300000,2019-10-14,04:45:00,UTC,804605049859145728,trtworldnow,TRT World Now,,Journalist Kate Fisher explains why US President Donald Trump decided to withdraw troops from Syria  pic.twitter.com/2Jw6M6t4Ng,[],[],[],1,9,19,[],[],https://twitter.com/TRTWorldNow/status/1183604594032533504,False,,1,,,,,,,"[{'user_id': '804605049859145728', 'username': 'TRTWorldNow'}]",
1183604393481883649,1183524771734183936,1571028252000,2019-10-14,04:44:12,UTC,57391685,pat_francis,Pat Francis,,The U.S. has the worst of the racists running the country.,['realdonaldtrump'],[],[],0,1,5,[],[],https://twitter.com/Pat_Francis/status/1183604393481883649,False,,0,,,,,,,"[{'user_id': '57391685', 'username': 'Pat_Francis'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",
1183603856980226050,1183603856980226050,1571028124000,2019-10-14,04:42:04,UTC,15115280,palmerreport,Palmer Report,,Donald Trump isn’t trying to save himself from being impeached. He’s aiming for a plea deal.        https://www.palmerreport.com/analysis/donald-trump-isnt-trying-to-save-himself-from-being-impeached-hes-aiming-for-a-plea-deal/21832 …,[],['https://www.palmerreport.com/analysis/donald-trump-isnt-trying-to-save-himself-from-being-impeached-hes-aiming-for-a-plea-deal/21832'],[],29,49,129,[],[],https://twitter.com/PalmerReport/status/1183603856980226050,False,,0,,,,,,,"[{'user_id': '15115280', 'username': 'PalmerReport'}]",
1183603444856307712,1180322962412576768,1571028026000,2019-10-14,04:40:26,UTC,29540950,revchuckcurrie,Rev. Dr. Chuck Currie,,I reported his Tweets and blocked him.,"['joeyrhyndress', 'garypri27889773', 'realdonaldtrump', 'robertjeffress']",[],[],0,0,0,[],[],https://twitter.com/RevChuckCurrie/status/1183603444856307712,False,,0,,,,,,,"[{'user_id': '29540950', 'username': 'RevChuckCurrie'}, {'user_id': '204042161', 'username': 'JoeyRhyndress'}, {'user_id': '1165039020054908928', 'username': 'garypri27889773'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '43350851', 'username': 'robertjeffress'}]",
1183603265428021248,1183587579544752128,1571027983000,2019-10-14,04:39:43,UTC,29540950,revchuckcurrie,Rev. Dr. Chuck Currie,,"If you agree with Donald Trump that the media is the enemy of the people, I'm not someone you should be following. I'm also certain that Senator Sanders would not agree with you.",['sarsathius'],[],[],1,0,5,[],[],https://twitter.com/RevChuckCurrie/status/1183603265428021248,False,,0,,,,,,,"[{'user_id': '29540950', 'username': 'RevChuckCurrie'}, {'user_id': '867187636154368001', 'username': 'Sarsathius'}]",
1183602989451436033,1183602989451436033,1571027917000,2019-10-14,04:38:37,UTC,2835451658,mrandyngo,Andy Ngo,,"After the @realDonaldTrump rally in Minneapolis, his supporters were attacked by left-wing extremists. An unprovoked assault on a woman was caught on camera by @AlphaNewsMN. Mayor @Jacob_Frey defends charging Trump campaign $530k for public safety. #antifa  https://youtu.be/5viO3shoJyw  pic.twitter.com/MgbsDh60NR","['realdonaldtrump', 'alphanewsmn', 'jacob_frey']",['https://youtu.be/5viO3shoJyw'],[],3077,10789,15700,['#antifa'],[],https://twitter.com/MrAndyNgo/status/1183602989451436033,False,,1,,,,,,,"[{'user_id': '2835451658', 'username': 'MrAndyNgo'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '3041775900', 'username': 'AlphaNewsMN'}, {'user_id': '328700529', 'username': 'Jacob_Frey'}]",
1183602588408778753,1183535447919812608,1571027822000,2019-10-14,04:37:02,UTC,14123301,jasonct,Jason CranfordTeague,,"Somebody please explain to Donald Trump, who will never be his father, Fred Trump, that the Phone Conversation he had with the President of Ukraine was a threatening & bad one. It was only Trump’s published version of that conversation that confirmed this!",['realdonaldtrump'],[],[],0,1,2,[],[],https://twitter.com/JasonCT/status/1183602588408778753,False,,0,,,,,,,"[{'user_id': '14123301', 'username': 'JasonCT'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",
1183602580938731521,1183602580938731521,1571027820000,2019-10-14,04:37:00,UTC,14722676,theinquisitr,INQUISITR,,Video Of Fake Donald Trump Murdering Reporters In A Church Shown During Conference At His Miami Resort.  #DonaldTrump #USPolitics https://www.inquisitr.com/5690911/donald-trump-violent-video-murdering-reporters/?utm_content=donald-trump&utm_term=NA&utm_medium=twitter-main …,[],['https://www.inquisitr.com/5690911/donald-trump-violent-video-murdering-reporters/?utm_content=donald-trump&utm_term=NA&utm_medium=twitter-main'],[],3,1,4,"['#donaldtrump', '#uspolitics']",[],https://twitter.com/theinquisitr/status/1183602580938731521,False,,0,,,,,,,"[{'user_id': '14722676', 'username': 'theinquisitr'}]",
1183602331939758081,1183602331939758081,1571027760000,2019-10-14,04:36:00,UTC,39769631,douglasblackmon,Douglas A. Blackmon,,This part of the Donald Trump/America-losing-its mind fiasco is so weird it is strangely reassuring.  https://twitter.com/simonamangiante/status/1183595050644791297 …,[],['https://twitter.com/simonamangiante/status/1183595050644791297'],[],1,0,5,[],[],https://twitter.com/douglasblackmon/status/1183602331939758081,False,https://twitter.com/simonamangiante/status/1183595050644791297,0,,,,,,,"[{'user_id': '39769631', 'username': 'douglasblackmon'}]",
1183602141438439429,1183376270731763714,1571027715000,2019-10-14,04:35:15,UTC,3288091105,charlie_adler,Charlie Adler,,"You’re a murderer.Tell the Kurds who are  dead,raped, tortured & displaced,who’s lives are destroyed because you decided to abandon them. You’re no hero now nor ever will be &there isn’t a hell large enough to House  your vile soul & those of your supporters. #ImpeachAndRemove","['realdonaldtrump', 'lindseygrahamsc']",[],[],0,1,10,['#impeachandremove'],[],https://twitter.com/charlie_adler/status/1183602141438439429,False,,0,,,,,,,"[{'user_id': '3288091105', 'username': 'charlie_adler'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '432895323', 'username': 'LindseyGrahamSC'}]",
